time [h],exp.0 biomass conc. at 22 °C,exp.1 biomass conc. at 24 °C,exp.2 biomass conc. at 26 °C,exp.3 biomass conc. at 28 °C,exp.4 biomass conc. at 30 °C,exp.5 biomass conc. at 32 °C,exp.6 biomass conc. at 34 °C,exp.7 biomass conc. at 36 °C,exp.8 biomass conc. at 38 °C
32.0,53.187500728338264,57.044794228162736,76.77885594888949,59.92612854572686,59.38366382120012,0.10533760656959082,60.370337244533836,7.804215672347391,0.6167591576720433
33.0,62.043494458934326,60.899992671893436,57.19624181143056,54.50512168155331,56.01245729024039,0.10075820397193469,61.175424760679284,5.592323716720932,0.707272725631772
34.0,63.05809328676536,62.174994228359225,51.71506187262446,59.20844220836281,51.04317379411232,0.09347053063931053,64.89749941864787,8.564043656442403,0.6067363061271749
35.0,61.10726258269311,59.083493009587876,63.037966911671646,59.677530967660374,58.730881769150855,0.1004665041927425,55.87085377083575,9.146664997247866,0.7501234215510355
36.0,54.45710749351356,61.27330248473996,66.78089659389259,46.35967219656628,59.96129445612466,0.10555242417192984,63.745722073943384,10.17112398417984,0.7098462921051549
37.0,60.64570935201953,62.34173751797729,66.61061757571007,62.833269691599256,69.48168336540787,0.09485739294938265,56.865030952381304,14.412063439949682,0.7673230713957881
38.0,62.73942506552544,62.37539878056908,68.40766474444442,61.850214278008806,63.948643330869366,0.09864244839521054,61.15780939535109,14.261303057696594,0.7482983557218349
39.0,72.2704092435896,59.151278795498065,70.53707327163268,63.74635633807074,64.26190538463902,0.10616818871718858,60.49009799452556,13.316676571072009,0.8976971365489752
40.0,51.9936431505494,68.85346604943916,68.95381404808748,54.12865039934654,63.91191783022367,0.10659008275363412,51.07338060414924,18.824859653532386,0.852980133806387
41.0,59.60964578342329,67.93674055491653,70.37748976531488,60.56966399700383,62.85992386812339,0.09518521950916538,75.63457411343616,17.337494771738548,1.1072707550187835
42.0,59.111477756334665,63.66461105949305,62.46935219501111,71.91401252443603,68.50229374321465,0.09719821494853687,57.62676518052521,21.236914394900452,1.0286283500013482
43.0,59.30039825403312,68.20823608342808,68.08655575193343,69.06060357335373,49.52048834534786,0.08059078861448335,70.43125729515369,24.580771405777668,1.1595448400310624
44.0,68.88275379578647,60.45967598765829,57.85840783853696,64.4778108793155,58.43844206970837,0.0986234354678229,62.946898734882055,21.729157251766427,1.0462549143767534
45.0,66.89304297562745,58.60891929746242,59.596778565021914,51.04169649254821,74.8447337235902,0.10190823393161268,64.6781495796725,28.687771628772804,1.5501042158763254
46.0,54.73976173788381,53.10974873416174,58.93802397230222,58.610599862261154,52.4124091331711,0.09801707851106142,51.31023976359795,33.50667801313408,1.1706470386906505
47.0,71.0460129558185,52.87394315131698,71.65926486718632,55.00458863027772,62.53217816977346,0.08290801966926378,61.67925288785599,28.319851281846216,1.2191443517204186
